ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique
elx				9								
hpo				9								
mpo				9								
hpf				9								
mpf				9								
vps				9								
yps				9								
rvs				9								
rvl				9								
wms				9								
tbk			12				1	1				
ibk			12				1	1				
amu				2								
vip				2								
rin				5								
gld												
bks			22									1
bkd			22									1
aqv			13	4			1					
tch			12									
cqv			13	4			1					
tsc				9								
isc				9								
hrt									1			
brz									1			
jaw									1			
eyz									1			
hrn									1			
tal									1			
flg			12						1			
fng									1			
qll									1			
sol									1			
scz				4					1			
spe									1			
key							1					
luv			12									
xyz												
j34			12									1
g34			12									1
bbb			22									1
box			22									1
tr1			22									1
mss												1
ass			22									1
qey									1			
qhr									1			
qbr									1			
ear												
gcv												
gfv												
gsv												
gzv												
gpv												
gcy												
gfy												
gsy												
gly												
gpy												
gcb												
gfb												
gsb												
glb												
gpb												
gcg												
gfg												
gsg												
glg												
gpg												
gcr												
gfr												
gsr												
glr												
gpr												
gcw												
gfw												
gsw												
glw												
gpw												
hp1				9								
hp2				9								
hp3				9								
hp4				9								
hp5				9								
mp1				9								
mp2				9								
mp3				9								
mp4				9								
mp5				9								
skc												
skf												
sku												
skl												
skz												
hrb												
cm1										1		
cm2			12							1		
cm3			13							1		
rps				9								
rpl				9								
bps				9								
bpl				9								
r01												
r02												
r03												
r04												
r05												
r06												
r07												
r08												
r09												
r10												
r11												
r12												
r13												
r14												
r15												
r16												
r17												
r18												
r19												
r20												
r21												
r22												
r23												
r24												
r25												
r26												
r27												
r28												
r29												
r30												
r31												
r32												
r33												
jew												
ice												
0sc											1	
tr2			22									1
************帽子****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique
cap			22	1	1	1							
skp			22	1	1	1							
hlm			22	1	1	1							
fhl			22	1	1	1							
ghm			22	1	1	1							
crn			22	1	1	1							
msk			22	1	1	1							
bhm			22	1	1	1							
xap	-8		22	1	1	1							
xkp			22	1	1	1							
xlm			22	1	1	1							
xhl			22	1	1	1							
xhm			22	1	1	1							
xrn			22	1	1	1							
xsk			22	1	1	1							
xh9			22	1	1	1							
uap	-8		22	1	1	1							
ukp			22	1	1	1							
ulm			22	1	1	1							
uhl			22	1	1	1							
uhm			22	1	1	1							
urn			22	1	1	1							
usk			22	1	1	1							
uh9			22	1	1	1							
ci0			22	1	1	1							
ci1			22	1	1	1							
ci2			22	1	1	1							
ci3			22	1	1	1							
************Bar专用帽子****************
ba1			22	1	1	1							
ba2			22	1	1	1							
ba3			22	1	1	1							
ba4			22	1	1	1							
ba5			22	1	1	1							
ba6	-5		22	1	1	1							
ba7			22	1	1	1							
ba8			22	1	1	1							
ba9			22	1	1	1							
baa			22	1	1	1							
bab	-5		22	1	1	1							
bac			22	1	1	1							
bad			22	1	1	1							
bae			22	1	1	1							
baf			22	1	1	1							
************Dru专用帽子****************
dr1			22	1	1	1							
dr2			22	1	1	1							
dr3			22	1	1	1							
dr4			22	1	1	1							
dr5			22	1	1	1							
dr6	-5		22	1	1	1							
dr7			22	1	1	1							
dr8			22	1	1	1							
dr9			22	1	1	1							
dra			22	1	1	1							
drb	-5		22	1	1	1							
drc			22	1	1	1							
drd			22	1	1	1							
dre			22	1	1	1							
drf			22	1	1	1							
************手套****************
lgl			22	8	1	1							
vgl			22	8	1	1							
mgl			22	8	1	1							
tgl			22	8	1	1							
hgl			22	8	1	1							
xlg	-5		22	8	1	1							
xvg			22	8	1	1							
xmg			22	8	1	1							
xtg			22	8	1	1							
xhg			22	8	1	1							
ulg	-5		22	8	1	1							
uvg			22	8	1	1							
umg			22	8	1	1							
utg			22	8	1	1							
uhg			22	8	1	1							
************鞋子****************
lbt			22	7	1	1							
vbt			22	7	1	1							
mbt			22	7	1	1							
tbt			22	7	1	1							
hbt			22	7	1	1							
xlb	-5		22	7	1	1							
xvb			22	7	1	1							
xmb			22	7	1	1							
xtb			22	7	1	1							
xhb			22	7	1	1							
ulb	-5		22	7	1	1							
uvb			22	7	1	1							
umb			22	7	1	1							
utb			22	7	1	1							
uhb			22	7	1	1							
************腰带****************
lbl			21	6	1	1							
vbl			21	6	1	1							
mbl			21	6	1	1							
tbl			21	6	1	1							
hbl			21	6	1	1							
zlb	-5		21	6	1	1							
zvb			21	6	1	1							
zmb			21	6	1	1							
ztb			21	6	1	1							
zhb			21	6	1	1							
ulc	-5		21	6	1	1							
uvc			21	6	1	1							
umc			21	6	1	1							
utc			21	6	1	1							
uhc			21	6	1	1							
***********衣服****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique
qui			23	3	1	1							
lea			23	3	1	1							
hla			23	3	1	1							
stu			23	3	1	1							
rng			23	3	1	1							
scl			23	3	1	1							
chn			23	3	1	1							
brs			23	3	1	1							
spl			23	3	1	1							
plt			23	3	1	1							
fld			23	3	1	1							
gth			23	3	1	1							
ful			23	3	1	1							
aar			23	3	1	1							
ltp			23	3	1	1							
xui	-15		23	3	1	1							
xea			23	3	1	1							
xla			23	3	1	1							
xtu			23	3	1	1							
xng			23	3	1	1							
xcl			23	3	1	1							
xhn			23	3	1	1							
xrs			23	3	1	1							
xpl			23	3	1	1							
xlt			23	3	1	1							
xld			23	3	1	1							
xth			23	3	1	1							
xul			23	3	1	1							
xar			23	3	1	1							
xtp			23	3	1	1							
uui	-15		23	3	1	1							
uea			23	3	1	1							
ula			23	3	1	1							
utu			23	3	1	1							
ung			23	3	1	1							
ucl			23	3	1	1							
uhn			23	3	1	1							
urs			23	3	1	1							
upl			23	3	1	1							
ult			23	3	1	1							
uld			23	3	1	1							
uth			23	3	1	1							
uul			23	3	1	1							
uar			23	3	1	1							
utp			23	3	1	1							
***********盾牌****************
buc			22	4	1	1							
sml			22	4	1	1							
lrg			23	4	1	1							
kit			23	4	1	1							
tow			23	4	1	1							
gts			24	4	1	1							
bsh			23	4	1	1							
spk			23	4	1	1							
xuc	-8		22	4	1	1							
xml			22	4	1	1							
xrg			23	4	1	1							
xit			23	4	1	1							
xow			23	4	1	1							
xts			24	4	1	1							
xsh			23	4	1	1							
xpk			23	4	1	1							
uuc	-8		22	4	1	1							
uml			22	4	1	1							
urg			23	4	1	1							
uit			23	4	1	1							
uow			23	4	1	1							
uts			24	4	1	1							
ush			23	4	1	1							
upk			23	4	1	1							
***********Pal专用盾牌****************
pa1			22	4	1	1							
pa2			22	4	1	1							
pa3			24	4	1	1							
pa4			24	4	1	1							
pa5			22	4	1	1							
pa6	-5		22	4	1	1							
pa7			22	4	1	1							
pa8			24	4	1	1							
pa9			24	4	1	1							
paa			22	4	1	1							
pab	-5		22	4	1	1							
pac			22	4	1	1							
pad			24	4	1	1							
pae			24	4	1	1							
paf			22	4	1	1							
***********Nec专用盾牌****************
ne1			22	4	1	1							
ne2			22	4	1	1							
ne3			22	4	1	1							
ne4			22	4	1	1							
ne5			22	4	1	1							
ne6	-5		22	4	1	1							
ne7			22	4	1	1							
ne8			22	4	1	1							
ne9			22	4	1	1							
nea			22	4	1	1							
neb	-5		22	4	1	1							
neg			22	4	1	1							
ned			22	4	1	1							
nee			22	4	1	1							
nef			22	4	1	1							
***********斧头****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
hax			13	4		1							
axe			23	4		1							
2ax			23	4		1							
mpi			23	4		1							
wax			23	4		1							
lax			23	4		1							
bax			23	4		1							
btx			23	4		1							
gax			24	4		1							
gix			23	4		1							
9ha	-10		13	4		1							
9ax			23	4		1							
92a			23	4		1							
9mp			23	4		1							
9wa			23	4		1							
9la			23	4		1							
9ba			23	4		1							
9bt			23	4		1							
9ga			24	4		1							
9gi			23	4		1							
7ha	-10		13	4		1							
7ax			23	4		1							
72a			23	4		1							
7mp			23	4		1							
7wa			23	4		1							
7la			23	4		1							
7ba			23	4		1							
7bt			23	4		1							
7ga			24	4		1							
7gi			23	4		1							
***********Nec杖****************
wnd			12	4		1							
ywn			12	4		1							
bwn			12	4		1							
gwn			12	4		1							
9wn	-4		12	4		1							
9yw			12	4		1							
9bw			12	4		1							
9gw			12	4		1							
7wn	-4		12	4		1							
7yw			12	4		1							
7bw			12	4		1							
7gw			12	4		1							
***********棒槌****************
clb			13	4		1							
spc			13	4		1							
mac			13	4		1							
mst			13	4		1							
fla			23	4		1							
whm			23	4		1							
mau			24	4		1							
gma			24	4		1							
9cl	-8		13	4		1							
9sp			13	4		1							
9mt			13	4		1							
9ms			13	4		1							
9fl			23	4		1							
9wh			23	4		1							
9m9			24	4		1							
9gm			24	4		1							
7cl	-8		13	4		1							
7sp			13	4		1							
7ma			13	4		1							
7mt			13	4		1							
7fl			23	4		1							
7wh			23	4		1							
7m7			24	4		1							
7gm			24	4		1							
***********Pal杖****************
scp			13	4		1							
gsc			13	4		1							
wsp			23	4		1							
9sc	-3		13	4		1							
9qs			13	4		1							
9ws			23	4		1							
7sc	-3		13	4		1							
7qs			13	4		1							
7ws			23	4		1							
***********刀剑****************
ssd			13	4		1							
scm			13	4		1							
sbr			13	4		1							
flc			13	4		1							
crs			23	4		1							
bsd			23	4		1							
lsd			23	4		1							
wsd			13	4		1							
2hs			14	4		1							
clm			14	4		1							
gis			14	4		1							
bsw			14	4		1							
flb			24	4		1							
gsd			24	4		1							
dgr			12	4		1							
dir			12	4		1							
kri			13	4		1							
bld			13	4		1							
9ss	-18		13	4		1							
9sm			13	4		1							
9sb			13	4		1							
9fc			13	4		1							
9cr			23	4		1							
9bs			23	4		1							
9ls			23	4		1							
9wd			13	4		1							
92h			14	4		1							
9cm			14	4		1							
9gs			14	4		1							
9b9			14	4		1							
9fb			24	4		1							
9gd			24	4		1							
9dg			12	4		1							
9di			12	4		1							
9kr			13	4		1							
9bl			13	4		1							
7ss	-18		13	4		1							
7sm			13	4		1							
7sb			13	4		1							
7fc			13	4		1							
7cr			23	4		1							
7bs			23	4		1							
7ls			23	4		1							
7wd			13	4		1							
72h			14	4		1							
7cm			14	4		1							
7gs			14	4		1							
7b7			14	4		1							
7fb			24	4		1							
7gd			24	4		1							
7dg			12	4		1							
7di			12	4		1							
7kr			13	4		1							
7bl			13	4		1							
***********飞刀****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
tkf			12	4		1	1						
tax			12	4		1	1						
bkf			12	4		1	1						
bal			23	4		1	1						
9tk	-4		12	4		1	1						
9ta			12	4		1	1						
9bk			12	4		1	1						
9b8			23	4		1	1						
7tk	-4		12	4		1	1						
7ta			12	4		1	1						
7bk			12	4		1	1						
7b8			23	4		1	1						
***********标枪****************
jav			13	4		1	1						
pil			13	4		1	1						
ssp			13	4		1	1						
glv			14	4		1	1						
tsp			14	4		1	1						
9ja	-5		13	4		1	1						
9pi			13	4		1	1						
9s9			13	4		1	1						
9gl			14	4		1	1						
