ID	Save Bits	Save Add
0	8	32
1	7	32
2	7	32
3	7	32
4		
5		
6		
7	9	32
8		
9	8	32
10		
11	8	32
12		
13		
14		
15		
16	9	0
17	18	0
18	9	0
19	10	
20	6	0
21	6	0
22	7	0
23	6	0
24	7	0
25	8	0
26	8	0
27	8	0
28	8	0
29		
30		
31	11	10
32	9	0
33	8	0
34	6	0
35	6	0
36	8	0
37	8	0
38	5	0
39	8	50
40	5	0
41	8	50
42	5	0
43	8	50
44	5	0
45	8	50
46	5	0
47		
48	17	0
49	9	0
50	16	0
51	10	0
52	17	0
53	9	0
54	25	0
55	9	0
56	8	0
57	29	0
58	10	0
59	9	0
60	7	0
61		
62	7	0
63		
64		
65		
66		
67	7	30
68	7	30
69		
70		
71	8	100
72	9	0
73	8	0
74	6	30
75	7	20
76	6	10
77	6	10
78	7	0
79	9	100
80	8	100
81	7	0
82	9	20
83	6	0
84		
85	9	50
86	7	0
87	7	0
88	1	0
89	4	4
90	24	0
91	8	100
92	7	
93	7	20
94	7	64
95		
96	7	20
97	15	0
98	9	
99	7	20
100		
101		
102	7	20
103		
104		
105	7	20
106		
107	12	0
108	1	0
109	9	0
110	8	20
111	9	20
112	7	-1
113	7	0
114	6	0
115	1	0
116	7	0
117	7	0
118	1	0
119	9	20
120	7	128
121	9	20
122	9	20
123	10	128
124	10	128
125	1	0
126	6	0
127	3	0
128	5	0
129		
130		
131		
132		
133		
134	5	0
135	7	0
136	7	0
137	7	0
138	7	0
139	7	0
140	7	0
141	7	0
142	7	0
143	7	0
144	7	0
145	7	0
146	7	0
147	7	0
148	7	0
149	7	0
150	7	0
151	14	0
152	1	
153	1	
154	7	20
155	17	0
156	7	0
157	7	0
158	7	0
159	6	0
160	7	0
161		
162		
163		
164		
165		
166		
167		
168		
169		
170		
171		
172		
173		
174		
175		
176		
177		
178		
179	19	
180	19	
181	3	
182		
183		
184		
185		
186		
187		
188	19	0
189		
190		
191		
192		
193		
194	4	0
195	23	0
196	23	0
197	23	0
198	23	0
199	23	0
200		
201	23	0
202		
203		
204	32	0
205		
206		
207		
208		
209		
210		
211		
212		
213		
214	6	0
215	6	0
216	6	0
217	6	0
218	6	0
219	6	0
220	6	0
221	6	0
222	6	0
223	6	0
224	6	0
225	6	0
226	6	0
227	6	0
228	6	0
229	6	0
230	6	0
231	6	0
232	6	0
233	6	0
234	6	0
235	6	0
236	6	0
237	6	0
238	5	0
239	6	0
240	6	0
241	6	0
242	6	0
243	6	0
244	6	0
245	6	0
246	6	0
247	6	0
248	6	0
249	6	0
250	6	0
251		
252	6	0
253	6	0
254	8	0
255		
256		
257		
258		
259		
260		
261		
262		
263		
264		
265		
266		
267		
268	22	0
269	22	0
270	22	0
271	22	0
272	22	0
273	22	0
274	22	0
275	22	0
276	22	0
277	22	0
278	22	0
279	22	0
280	22	0
281	22	0
282	22	0
283	22	0
284	22	0
285	22	0
286	22	0
287	22	0
288	22	0
289	22	0
290	22	0
291	22	0
292	22	0
293	22	0
294	22	0
295	22	0
296	22	0
297	22	0
298	22	0
299	22	0
300	22	0
301	22	0
302	22	0
303	22	0
304		
305	8	50
306	8	50
307	8	50
308	8	50
309		
310		
311		
312		
313		
314		
315		
316		
317		
318		
319		
320		
321		
322		
323		
324	6	0
325		
326		
327		
328		
329	9	50
330	9	50
331	9	50
332	9	50
333	8	0
334	8	0
335	8	0
336	8	0
337	8	0
338	7	0
339	7	0
340	7	0
341	8	0
342	8	0
343	8	0
344	8	0
345	8	0
346	8	0
347	8	0
348	8	0
349	8	0
350		
351		
352		
353		
354		
355		
356	2	0
357	9	50
358	8	0
