pac	Alma Negra
vip	Amulet of the Viper
usk	Andariel's Visage
cm1	Annihilus
ulc	Arachnid Mesh
7sr	Arioc's Needle
upl	Arkaine's Valor
9bw	Arm of King Leoric
baa	Arreat's Face
7ws	Astreon's Iron Ward
9s8	Athena's Wrath
amu	Atma's Scarab
xth	Atma's Wail
lax	Axe of Fechmar
crs	Azurewrath
7cr	Azurewrath
9fl	Baezil's Vortex
sst	Bane Ash
7mt	Baranar's Star
9tw	Bartuc's Cut-Throat
cap	Biggin's Bonnet
9cm	Bing Sz Wang
xul	Black Hades
9kr	Blackbog's Sharp
9gw	Blackhand Key
xsk	Blackhorn's Face
9vo	Blackleach Blade
uml	Blackoak Shield
bsw	Blacktongue
9fc	Blade of Ali Baba
2ax	Bladebone
hbl	Bladebuckle
lwb	Blastbark
lea	Blinkbat's Form
scm	Blood Crescent
amb	Blood Raven's Charge
vgl	Bloodfist
9ss	Bloodletter
7sb	Bloodmoon
mst	Bloodrise
brn	Bloodthief
9m9	Bloodtree Stump
nee	Boneflame
plt	Boneflesh
7o7	Bonehew
7bw	Boneshade
9ga	Boneslayer Blade
mau	Bonesnap
gax	Brainhew
rin	Bul-Kathos' Wedding Band
8hx	Buriza-Do Kyanon
9ax	Butcher's Pupil
tow	Bverrit Keep
9yw	Carin Shard
rin	Carrion Wind
drb	Cerebus' Bite
mgl	Chance Guards
8cs	Chromatic Ire
8l8	Cliffkiller
9b9	Cloudcrack
hlm	Coif of Glory
9ha	Coldkill
9sm	Coldsteel Eye
rin	Constricting Ring
xar	Corpsemourn
92h	Crainte Vomir
7mp	Cranebeak
amu	Crescent Moon
xcl	Crow Caw
urn	Crown of Ages
xrn	Crown of Thieves
mac	Crushflange
wsd	Culwen's Point
9cl	Dark Clan Crusher
ulm	Darkfear
nef	Darkforce Spawn
rng	Darkglow
xhl	Darksight Helm
7wa	Death Cleaver
9tk	Deathbit
obf	Death's Fathom
7gw	Death's Web
axe	Deathspade
7sp	Demon Limb
8rx	Demon Machine
bad	Demonhorn's Edge
7s7	Demon's Arch
bar	Dimoak's Hew
